m_id,kakao_sms,kakao_sms_agree_date,kakao_mailling,kakao_mailling_agree_date,kakao_app_push,kakao_app_push_date,kakao_dm,kakao_dm_date,kakao_tm,kakao_tm_date,db_sms,db_sms_agree_date,db_mailling,db_mailling_agree_date,db_app_push,db_app_push_agree_date,db_dm,db_dm_agree_date,db_tm,db_tm_agree_date
kakao_567252443,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_569458459,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_563948300,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_565536602,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_579479818,y,2021-05-03T02:26:48Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,y,2021-05-03 02:26:48,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_575748489,y,2021-09-19T01:09:49Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,y,2021-09-19 01:09:49,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_688352591,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,y,2021-11-24T12:59:39Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,y,2021-11-24 12:59:39
kakao_699298747,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_702073151,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_696383411,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_721099010,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_727157576,y,2021-08-14T16:04:12Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,y,2021-08-14 16:04:12,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_717170481,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_732468899,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_730189961,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_735636659,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,y,2021-10-23T12:32:20Z,y,2021-10-23T12:32:20Z,y,2021-10-23T12:32:20Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,y,2021-10-23 12:32:20,y,2021-10-23 12:32:20,y,2021-10-23 12:32:20
kakao_736489842,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_735345403,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_735397628,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_732873965,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_730177722,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_729928556,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_739923005,y,2022-05-07T09:43:26Z,y,2022-05-07T09:43:26Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,y,2022-05-07 09:43:26,y,2022-05-07 09:43:26,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_742420267,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_740658648,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_739063311,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_739838223,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_748634420,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_739776352,y,2021-11-13T01:09:42Z,y,2021-11-13T01:09:42Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,y,2021-11-13 01:09:42,y,2021-11-13 01:09:42,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_736660620,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_749650635,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
kakao_756437857,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,1900-01-01T00:00:00Z,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00,n,0001-01-01 00:00:00
